"","x"
"1",0
"2",0
"3",0.233325958251953
"4",0
"5",0
"6",0.857224345207214
"7",0
"8",0
"9",0
"10",0
"11",0.411310017108917
"12",0.964349210262299
"13",0.215257540345192
"14",0
"15",0
"16",0.290630728006363
"17",0
"18",0
"19",0
"20",0
"21",0.614100158214569
"22",0
"23",0
"24",0
"25",0
"26",0.926008105278015
"27",0
"28",0.932112455368042
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0.347183257341385
"36",0.537524461746216
"37",0
"38",0.270715892314911
"39",0.917117059230804
"40",0.6143998503685
"41",0
"42",0.723317801952362
"43",0
"44",0
"45",0
"46",0
"47",0.0148234078660607
"48",0
"49",0
"50",0.94844663143158
"51",0.786511182785034
"52",0
"53",0
"54",0.898457825183868
"55",0.35250785946846
"56",0
"57",0
"58",0
"59",0.921929597854614
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0.66923201084137
"67",0
"68",0.589633524417877
"69",0.555806398391724
"70",0
"71",0.208759516477585
"72",0.324327409267426
"73",0
"74",0
"75",0
"76",0
"77",0.409339368343353
"78",0
"79",0
"80",0
"81",0
"82",0.885374367237091
"83",0.0632285326719284
"84",0
"85",0.329855144023895
"86",0
"87",0
"88",0
"89",0.95267653465271
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0.227655604481697
"96",0
"97",0
"98",0
"99",0.182525813579559
"100",0
"101",0.225046396255493
"102",0
"103",0
"104",0.213492333889008
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0.584276258945465
"112",0.348139315843582
"113",0
"114",0.34285768866539
"115",0
"116",0.585044980049133
"117",0
"118",0.0176873356103897
"119",0.508449614048004
"120",0
"121",0.931149780750275
"122",0
"123",0.251615047454834
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0.736344814300537
"130",0.482459366321564
"131",0.97563225030899
"132",0
"133",0.723895192146301
"134",0
"135",0.942510187625885
"136",0
"137",0
"138",0
"139",0.379958063364029
"140",0.332358866930008
"141",0.689076483249664
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0.61469954252243
"149",0.875973761081696
"150",0
"151",0
"152",0
"153",0
"154",0.275622010231018
"155",0.917376518249512
"156",0.278513997793198
