"","x"
"1",0
"2",0.316670179367065
"3",0.245551913976669
"4",0.21988981962204
"5",0.665823340415955
"6",0.103034719824791
"7",0.362418800592422
"8",0.0302085280418396
"9",0
"10",0
"11",0.160444781184196
"12",0
"13",0
"14",0
"15",0.153599351644516
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0.272418528795242
"22",0
"23",0
"24",0.00644797133281827
"25",0.37847626209259
"26",0.0676395669579506
"27",0.42883774638176
"28",0
"29",0
"30",0.00777925085276365
"31",0
"32",0
"33",0
"34",0.11231492459774
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0.470311194658279
"41",0.795445740222931
"42",0.203772947192192
"43",0
"44",0.608335971832275
"45",0
"46",0
"47",0
"48",0.528195917606354
"49",0
"50",0.455331861972809
"51",0
"52",0.883699774742126
"53",0
"54",0.50661039352417
"55",0.184551820158958
"56",0.0719144269824028
"57",0
"58",0.00594313582405448
"59",0
"60",0.441539317369461
"61",0.428213715553284
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0.521834969520569
"68",0.374196618795395
"69",0.220631882548332
"70",0.197798892855644
"71",0.238635122776031
"72",0
"73",0
"74",0
"75",0.0879320204257965
"76",0
"77",0
"78",0.0516243912279606
"79",0.0173209346830845
"80",0
"81",0
"82",0
"83",0.743143558502197
"84",0
"85",0.319492489099503
"86",0
"87",0
"88",0.461917489767075
"89",0.669461250305176
"90",0.511612117290497
"91",0
"92",0
"93",0.402659684419632
"94",0.628094255924225
"95",0
"96",0.671133697032928
"97",0.211691990494728
"98",0
"99",0.38433101773262
"100",0.460365980863571
"101",0.288582116365433
"102",0
"103",0
"104",0
"105",0.515545427799225
"106",0.108690857887268
"107",0.889624714851379
"108",0.125504836440086
"109",0.628484725952148
"110",0
"111",0
"112",0.0702849999070168
"113",0.333119541406631
"114",0
"115",0
"116",0.337833791971207
"117",0
"118",0.266256004571915
"119",0.187606185674667
"120",0.455266058444977
"121",0.437038630247116
"122",0
"123",0
"124",0
"125",0.256663948297501
"126",0
"127",0.84689474105835
"128",0
"129",0
"130",0.0736157074570656
"131",0.668874204158783
"132",0.0550523959100246
"133",0.755413472652435
"134",0
"135",0.614857733249664
"136",0
"137",0
"138",0.531194627285004
"139",0
"140",0.462536782026291
"141",0
"142",0
"143",0.0349976606667042
"144",0
"145",0.73448657989502
"146",0
"147",0
"148",0.0949927568435669
"149",0
"150",0
"151",0
"152",0
"153",0.451316177845001
"154",0.00267573329620063
"155",0.0329206138849258
"156",0.723418951034546
"157",0.528477072715759
"158",0.470625549554825
"159",0
"160",0.446795135736465
"161",0
"162",0.592171549797058
"163",0.452483355998993
"164",0.51482880115509
"165",0.0796465650200844
"166",0.121871866285801
"167",0.193866372108459
"168",0.581040918827057
"169",0
"170",0
"171",0.0546561293303967
"172",0.697280764579773
"173",0
"174",0.0797358006238937
"175",0
"176",0.0583441406488419
"177",0
"178",0.0348234809935093
"179",0
"180",0.191459700465202
"181",0
"182",0.438530325889587
"183",0.617715775966644
"184",0
"185",0
"186",0.0648064464330673
"187",0.18170927464962
"188",0
"189",0.374333620071411
"190",0.4775071144104
"191",0.097408339381218
"192",0.228525936603546
"193",0.356316864490509
"194",0
"195",0
"196",0
"197",0.357095688581467
"198",0.49452805519104
"199",0.0813265815377235
"200",0.0999296605587006
"201",0
"202",0.680270969867706
"203",0.0844044163823128
"204",0.0664081797003746
"205",0
"206",0
"207",0
"208",0
"209",0
"210",0
"211",0.264462560415268
"212",0.464139103889465
"213",0.557793080806732
"214",0
"215",0
"216",0
"217",0
"218",0
"219",0
"220",0.75728976726532
"221",0
"222",0
"223",0
"224",0.381944388151169
"225",0.875070929527283
"226",0.203820660710335
"227",0.152440220117569
"228",0.405512928962708
"229",0.350672751665115
"230",0.356825202703476
"231",0
"232",0
"233",0.0656253546476364
"234",0.274707794189453
"235",0
"236",0.252346813678741
"237",0
"238",0
"239",0.477213948965073
"240",0.630477488040924
"241",0
"242",0.416104286909103
"243",0
"244",0
"245",0
"246",0.632109701633453
"247",0.272358477115631
"248",0.181370571255684
"249",0
"250",0
"251",0
"252",0.0287818368524313
"253",0
"254",0.843401730060577
"255",0.0887246653437614
"256",0
"257",0
"258",0.348205506801605
"259",0
"260",0.682135760784149
"261",0
"262",0
"263",0
"264",0.449591308832169
"265",0
"266",0.170118555426598
"267",0.233155190944672
"268",0.408873409032822
"269",0
