"","x"
"1",0
"2",0
"3",0
"4",0.8787602186203
"5",0
"6",0.369200825691223
"7",0
"8",0
"9",0
"10",0
"11",0.020394966006279
"12",0
"13",0
"14",0
"15",0
"16",0.836699724197388
"17",0.683617353439331
"18",0.966393887996674
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0.511663794517517
"27",0.7957923412323
"28",0
"29",0
"30",0.12517161667347
"31",0
"32",0
"33",0.653625249862671
"34",0
"35",0
"36",0.404431939125061
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0.93000465631485
"43",0.036308828741312
"44",0
"45",0
"46",0.412370681762695
"47",0
"48",0
"49",0.47880157828331
"50",0
"51",0
"52",0.640075981616974
"53",0
"54",0
"55",0
"56",0.894561111927032
"57",0.0839928239583969
"58",0
"59",0
"60",0.928409516811371
"61",0.196756422519684
"62",0
"63",0
"64",0.939674556255341
"65",0
"66",0.939221024513245
"67",0.535039067268372
"68",0
"69",0
"70",0
"71",0.205230057239532
"72",0.275474846363068
"73",0.92907589673996
"74",0.471686750650406
"75",0.623940587043762
"76",0
"77",0.371426433324814
"78",0.889200925827026
"79",0
"80",0
"81",0
"82",0.97244518995285
"83",0
"84",0
"85",0
"86",0.962749660015106
"87",0
"88",0.88204550743103
"89",0.945607125759125
"90",0.592626988887787
"91",0.665578365325928
"92",0.932784974575043
"93",0.617957711219788
"94",0
"95",0
"96",0.058562558144331
"97",0
"98",0.717891335487366
"99",0
"100",0.845415949821472
"101",0
"102",0
"103",0
"104",0
"105",0.377278625965118
"106",0
"107",0
"108",0.910877585411072
"109",0
"110",0
"111",0
"112",0.932784974575043
"113",0
"114",0
"115",0.566063642501831
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",0.340072304010391
"126",0
"127",0
"128",0.825030386447906
"129",0.860148012638092
"130",0
"131",0.488273352384567
"132",0.46622970700264
"133",0
"134",0
"135",0
"136",0
"137",0.691167831420898
"138",0.896113872528076
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0.544273257255554
"148",0
"149",0
"150",0.0611652657389641
"151",0
"152",0
"153",0.961107909679413
"154",0.313023895025253
"155",0.877881288528442
