"","x"
"1",0.200494587421417
"2",0.0417349115014076
"3",0
"4",0
"5",0.0308614727109671
"6",0.733521699905396
"7",0.100263111293316
"8",0.00673843920230865
"9",0
"10",0
"11",0.542323529720306
"12",0.0646052211523056
"13",0.221801519393921
"14",0
"15",0.0585801564157009
"16",0.445401638746262
"17",0.418216824531555
"18",0.036559596657753
"19",0.378792345523834
"20",0.265369772911072
"21",0.323570787906647
"22",0
"23",0
"24",0.315122902393341
"25",0.514959156513214
"26",0.711725354194641
"27",0.372620582580566
"28",0.145182564854622
"29",0
"30",0.272627681493759
"31",0.750943243503571
"32",0.150893375277519
"33",0.584189474582672
"34",0.0477357767522335
"35",0.0533235184848309
"36",0
"37",0.294151872396469
"38",0
"39",0.47881954908371
"40",0.075452521443367
"41",0.312360882759094
"42",0
"43",0.223004028201103
"44",0.0516178086400032
"45",0.306399881839752
"46",0.512294292449951
"47",0
"48",0.188149482011795
"49",0.310819208621979
"50",0.0610157027840614
"51",0.0528952106833458
"52",0
"53",0.155320346355438
"54",0.408414274454117
"55",0.266820698976517
"56",0.0944130271673203
"57",0.152624800801277
"58",0.632763028144836
"59",0.0133202904835343
"60",0.634720027446747
"61",0
"62",0.592843353748322
"63",0.0954335555434227
"64",0.217328697443008
"65",0.0473837107419968
"66",0.812078297138214
"67",0.203045770525932
"68",0.0471162013709545
"69",0.0130617478862405
"70",0.332170516252518
"71",0.0175310112535954
"72",0.117686912417412
"73",0.254046976566315
"74",0.0880784839391708
"75",0
"76",0.30937922000885
"77",0
"78",0.0394552834331989
"79",0.0676788240671158
"80",0.0357671082019806
"81",0
"82",0.488478004932404
"83",0.0613864436745644
"84",0
"85",0.688936293125153
"86",0.00538565311580896
"87",0.202460274100304
"88",0
"89",0.0138102797791362
"90",0
"91",0
"92",0.0313001871109009
"93",0.217793136835098
"94",0
"95",0.209721207618713
"96",0
"97",0.0209312401711941
"98",0.0385011360049248
"99",0.706370949745178
"100",0.28397399187088
"101",0
"102",0.30621325969696
"103",0.513405919075012
"104",0.0227533597499132
"105",0
"106",0.302489072084427
"107",0.101927816867828
"108",0.88941103219986
"109",0.278336256742477
"110",0.041032150387764
"111",0.385413438081741
"112",0
"113",0
"114",0.368644177913666
"115",0.00972799211740494
"116",0.316343992948532
"117",0.0818847566843033
"118",0.102915056049824
"119",0.45485720038414
"120",0.0863559693098068
"121",0.633078575134277
