,index,variable,value
0,asakareh,0,0.0
1,asakareh_improved,0,0.0
2,watson,0,0.0
3,suh,0,0.11938789
4,suh_improved,0,0.69090986
5,asakareh,1,0.0
6,asakareh_improved,1,0.0
7,watson,1,0.0
8,suh,1,0.033260684
9,suh_improved,1,0.5936419
10,asakareh,2,0.0
11,asakareh_improved,2,0.0
12,watson,2,0.0
13,suh,2,0.0
14,suh_improved,2,0.0
15,asakareh,3,0.0
16,asakareh_improved,3,0.0
17,watson,3,0.0
18,suh,3,0.0
19,suh_improved,3,0.0
20,asakareh,4,0.0
21,asakareh_improved,4,0.0
22,watson,4,0.0
23,suh,4,0.0
24,suh_improved,4,0.0
25,asakareh,5,0.0
26,asakareh_improved,5,0.0
27,watson,5,0.0
28,suh,5,0.0
29,suh_improved,5,0.0
30,asakareh,6,0.0
31,asakareh_improved,6,0.0
32,watson,6,0.0010623108
33,suh,6,0.0
34,suh_improved,6,0.50799483
35,asakareh,7,0.0
36,asakareh_improved,7,0.0
37,watson,7,0.0
38,suh,7,0.0
39,suh_improved,7,0.0
40,asakareh,8,0.0
41,asakareh_improved,8,0.0
42,watson,8,0.0
43,suh,8,0.0
44,suh_improved,8,0.0
45,asakareh,9,0.0
46,asakareh_improved,9,0.0
47,watson,9,0.0
48,suh,9,0.0
49,suh_improved,9,0.61819434
50,asakareh,10,0.0
51,asakareh_improved,10,0.0
52,watson,10,0.0003192442
53,suh,10,0.47397366
54,suh_improved,10,0.69930387
55,asakareh,11,0.0
56,asakareh_improved,11,0.0
57,watson,11,0.0
58,suh,11,0.47894388
59,suh_improved,11,0.69972426
60,asakareh,12,0.0
61,asakareh_improved,12,0.0
62,watson,12,0.0
63,suh,12,0.48620054
64,suh_improved,12,0.70001656
65,asakareh,13,0.0
66,asakareh_improved,13,0.0
67,watson,13,0.0
68,suh,13,0.0
69,suh_improved,13,0.0
70,asakareh,14,0.0
71,asakareh_improved,14,0.0
72,watson,14,0.012161598
73,suh,14,0.0
74,suh_improved,14,0.7084269
75,asakareh,15,0.0
76,asakareh_improved,15,0.0
77,watson,15,0.0
78,suh,15,0.0
79,suh_improved,15,0.0
80,asakareh,16,0.0
81,asakareh_improved,16,0.0
82,watson,16,0.0
83,suh,16,0.0
84,suh_improved,16,0.0
85,asakareh,17,0.0
86,asakareh_improved,17,0.0
87,watson,17,0.0
88,suh,17,0.0
89,suh_improved,17,0.0
90,asakareh,18,0.0
91,asakareh_improved,18,0.0
92,watson,18,0.0
93,suh,18,0.0
94,suh_improved,18,0.0
95,asakareh,19,0.0
96,asakareh_improved,19,0.0
97,watson,19,0.0
98,suh,19,0.0
99,suh_improved,19,0.606395
100,asakareh,20,0.0
101,asakareh_improved,20,0.0
102,watson,20,0.0
103,suh,20,0.0
104,suh_improved,20,0.0
105,asakareh,21,0.0019700283
106,asakareh_improved,21,0.058484226
107,watson,21,0.0
108,suh,21,0.0
109,suh_improved,21,0.34304503
110,asakareh,22,0.0
111,asakareh_improved,22,0.0
112,watson,22,0.0
113,suh,22,0.0
114,suh_improved,22,0.28015998
115,asakareh,23,0.0
116,asakareh_improved,23,0.0
117,watson,23,0.0
118,suh,23,0.0
119,suh_improved,23,0.2802481
120,asakareh,24,0.0
121,asakareh_improved,24,0.0
122,watson,24,0.0
123,suh,24,0.0
124,suh_improved,24,0.28476855
125,asakareh,25,0.0
126,asakareh_improved,25,0.0
127,watson,25,0.0
128,suh,25,0.47981343
129,suh_improved,25,0.9465013
130,asakareh,26,0.0
131,asakareh_improved,26,0.0
132,watson,26,0.0
133,suh,26,0.0
134,suh_improved,26,0.0
135,asakareh,27,0.0
136,asakareh_improved,27,0.0
137,watson,27,0.0034044133
138,suh,27,0.0
139,suh_improved,27,0.79735565
140,asakareh,28,0.0
141,asakareh_improved,28,0.0
142,watson,28,0.013718557
143,suh,28,0.0
144,suh_improved,28,0.73248535
145,asakareh,29,0.0
146,asakareh_improved,29,0.0
147,watson,29,0.0
148,suh,29,0.0
149,suh_improved,29,0.48381075
150,asakareh,30,0.0
151,asakareh_improved,30,0.0
152,watson,30,0.0018827518
153,suh,30,0.0
154,suh_improved,30,0.49301183
155,asakareh,31,0.0
156,asakareh_improved,31,0.0
157,watson,31,0.0
158,suh,31,0.0
159,suh_improved,31,0.0
160,asakareh,32,0.0
161,asakareh_improved,32,0.0
162,watson,32,0.0
163,suh,32,0.0
164,suh_improved,32,0.0
165,asakareh,33,0.0
166,asakareh_improved,33,0.0
167,watson,33,0.0
168,suh,33,0.0
169,suh_improved,33,0.0
170,asakareh,34,0.0
171,asakareh_improved,34,0.0
172,watson,34,0.0
173,suh,34,0.0
174,suh_improved,34,0.0
175,asakareh,35,0.0
176,asakareh_improved,35,0.0
177,watson,35,0.0
178,suh,35,0.0
179,suh_improved,35,0.0
180,asakareh,36,0.0
181,asakareh_improved,36,0.0
182,watson,36,0.0
183,suh,36,0.0
184,suh_improved,36,0.0
185,asakareh,37,0.0
186,asakareh_improved,37,0.0
187,watson,37,0.0
188,suh,37,0.0
189,suh_improved,37,0.0
190,asakareh,38,0.0
191,asakareh_improved,38,0.0
192,watson,38,0.0
193,suh,38,0.0
194,suh_improved,38,0.0
195,asakareh,39,0.0
196,asakareh_improved,39,0.0
197,watson,39,0.0
198,suh,39,0.0
199,suh_improved,39,0.5602411
200,asakareh,40,0.0
201,asakareh_improved,40,0.0
202,watson,40,0.0
203,suh,40,0.0
204,suh_improved,40,0.0
205,asakareh,41,0.0
206,asakareh_improved,41,0.0
207,watson,41,0.0
208,suh,41,0.0
